#MMo    logLLo  logTe     G   G_BP    G_RP
07.5733690408    3.49364  4.32532   -1.9380  -2.0606  -1.7047
07.6191632995    3.50463  4.32641   -1.9595  -2.0824  -1.7256
07.6649575582    3.51560  4.32748   -1.9811  -2.1042  -1.7465
07.7107518169    3.52655  4.32854   -2.0026  -2.1261  -1.7676
07.7565460755    3.53748  4.32958   -2.0243  -2.1480  -1.7887
07.8023403342    3.54839  4.33059   -2.0460  -2.1700  -1.8098
07.8481345929    3.55928  4.33159   -2.0678  -2.1921  -1.8311
07.8939288516    3.57015  4.33257   -2.0897  -2.2142  -1.8524
07.9397231102    3.58100  4.33353   -2.1117  -2.2364  -1.8739
07.9855173689    3.59185  4.33447   -2.1337  -2.2588  -1.8954
08.0313116276    3.60256  4.33537   -2.1556  -2.2809  -1.9169
08.0771058863    3.61319  4.33625   -2.1775  -2.3030  -1.9383
08.1229001449    3.62382  4.33710   -2.1995  -2.3253  -1.9598
08.1686944036    3.63444  4.33794   -2.2216  -2.3476  -1.9815
08.2144886623    3.64504  4.33875   -2.2438  -2.3700  -2.0032
08.2602829210    3.65563  4.33954   -2.2661  -2.3925  -2.0251
08.3060771796    3.66622  4.34031   -2.2885  -2.4152  -2.0472
08.3518714383    3.67679  4.34106   -2.3111  -2.4379  -2.0693
08.3976656970    3.68736  4.34177   -2.3338  -2.4608  -2.0916
08.4434599557    3.69793  4.34247   -2.3566  -2.4838  -2.1140
08.4892542144    3.70848  4.34315   -2.3795  -2.5069  -2.1366
08.5350484730    3.71892  4.34379   -2.4023  -2.5299  -2.1591
08.5808427317    3.72931  4.34440   -2.4252  -2.5530  -2.1816
08.6266369904    3.73970  4.34499   -2.4482  -2.5761  -2.2043
08.6724312491    3.75009  4.34554   -2.4714  -2.5995  -2.2272
08.7182255077    3.76047  4.34608   -2.4947  -2.6230  -2.2503
08.7640197664    3.77085  4.34658   -2.5182  -2.6466  -2.2735
08.8098140251    3.78124  4.34705   -2.5420  -2.6705  -2.2970
08.8556082838    3.79163  4.34748   -2.5658  -2.6945  -2.3207
08.9014025424    3.80202  4.34789   -2.5899  -2.7187  -2.3445
08.9471968011    3.81242  4.34826   -2.6142  -2.7432  -2.3686
08.9929910598    3.82282  4.34860   -2.6388  -2.7678  -2.3930
09.0387853185    3.83309  4.34890   -2.6632  -2.7923  -2.4172
09.0845795771    3.84335  4.34916   -2.6878  -2.8170  -2.4417
09.1303738358    3.85360  4.34939   -2.7125  -2.8418  -2.4663
09.1761680945    3.86388  4.34958   -2.7376  -2.8670  -2.4913
09.2219623532    3.87415  4.34973   -2.7629  -2.8924  -2.5165
09.2677566118    3.88444  4.34983   -2.7885  -2.9180  -2.5420
09.3135508705    3.89475  4.34989   -2.8144  -2.9439  -2.5679
09.3593451292    3.90506  4.34991   -2.8405  -2.9701  -2.5940
09.4051393879    3.91539  4.34987   -2.8670  -2.9966  -2.6205
09.4509336465    3.92574  4.34979   -2.8938  -3.0234  -2.6474
09.4967279052    3.93610  4.34966   -2.9210  -3.0506  -2.6745
09.5425221639    3.94631  4.34948   -2.9480  -3.0776  -2.7016
09.5883164226    3.95652  4.34924   -2.9753  -3.1049  -2.7291
09.6341106812    3.96675  4.34895   -3.0030  -3.1325  -2.7569
09.6799049399    3.97701  4.34860   -3.0311  -3.1605  -2.7852
09.7256991986    3.98728  4.34819   -3.0596  -3.1889  -2.8138
09.7714934573    3.99758  4.34771   -3.0886  -3.2178  -2.8430
09.8172877159    4.00790  4.34716   -3.1180  -3.2471  -2.8727
09.8630819746    4.01824  4.34653   -3.1478  -3.2769  -2.9029
09.9088762333    4.02863  4.34583   -3.1782  -3.3071  -2.9336
09.9546704920    4.03904  4.34506   -3.2091  -3.3379  -2.9649
10.0004647506    4.04949  4.34419   -3.2406  -3.3692  -2.9969
10.0462590093    4.05971  4.34326   -3.2719  -3.4003  -3.0287
10.0920532680    4.06997  4.34224   -3.3039  -3.4320  -3.0611
10.1378475267    4.08027  4.34111   -3.3364  -3.4643  -3.0942
10.1836417853    4.09061  4.33990   -3.3696  -3.4972  -3.1280
10.2294360440    4.10099  4.33857   -3.4036  -3.5309  -3.1627
10.2752303027    4.11142  4.33714   -3.4382  -3.5652  -3.1981
10.3210245614    4.12190  4.33559   -3.4737  -3.6003  -3.2343
10.3668188200    4.13244  4.33392   -3.5099  -3.6362  -3.2715
10.4126130787    4.14304  4.33215   -3.5470  -3.6728  -3.3095
10.4584073374    4.15372  4.33023   -3.5850  -3.7103  -3.3485
10.5042015961    4.16448  4.32821   -3.6238  -3.7486  -3.3884
10.5499958547    4.17534  4.32608   -3.6635  -3.7878  -3.4293
10.5957901134    4.18632  4.32387   -3.7040  -3.8278  -3.4709
10.6415843721    4.19745  4.32162   -3.7451  -3.8683  -3.5133
10.6873786308    4.20878  4.31940   -3.7865  -3.9092  -3.5559
10.7331728894    4.22036  4.31736   -3.8276  -3.9498  -3.5982
10.7789671481    4.23242  4.31586   -3.8668  -3.9886  -3.6383
10.8247614068    4.24516  4.31547   -3.9016  -4.0233  -3.6733
10.8263928299    4.24564  4.31550   -3.9026  -4.0244  -3.6743
10.8280242531    4.24612  4.31553   -3.9037  -4.0254  -3.6754
10.8296556762    4.24660  4.31557   -3.9047  -4.0264  -3.6764
10.8312870994    4.24708  4.31561   -3.9057  -4.0274  -3.6773
10.8329185225    4.24757  4.31566   -3.9067  -4.0284  -3.6783
10.8345499456    4.24806  4.31571   -3.9076  -4.0294  -3.6792
10.8361813688    4.24856  4.31577   -3.9086  -4.0304  -3.6801
10.8378127919    4.24905  4.31583   -3.9095  -4.0313  -3.6810
10.8394442151    4.24955  4.31590   -3.9104  -4.0322  -3.6819
10.8410756382    4.25005  4.31597   -3.9113  -4.0331  -3.6827
10.8427070613    4.25056  4.31605   -3.9121  -4.0340  -3.6835
10.8443384845    4.25106  4.31613   -3.9129  -4.0348  -3.6843
10.8459699076    4.25157  4.31622   -3.9137  -4.0356  -3.6850
10.8476013308    4.25209  4.31632   -3.9145  -4.0364  -3.6857
10.8492327539    4.25260  4.31643   -3.9152  -4.0372  -3.6864
10.8508641771    4.25313  4.31654   -3.9159  -4.0379  -3.6871
10.8524956002    4.25365  4.31666   -3.9166  -4.0386  -3.6877
10.8541270233    4.25419  4.31679   -3.9172  -4.0392  -3.6882
10.8557584465    4.25472  4.31693   -3.9178  -4.0399  -3.6887
10.8573898696    4.25526  4.31708   -3.9183  -4.0405  -3.6892
10.8590212928    4.25581  4.31723   -3.9188  -4.0410  -3.6896
10.8606527159    4.25636  4.31740   -3.9193  -4.0415  -3.6900
10.8622841390    4.25692  4.31758   -3.9197  -4.0420  -3.6903
10.8639155622    4.25748  4.31777   -3.9201  -4.0424  -3.6906
10.8655469853    4.25805  4.31797   -3.9204  -4.0428  -3.6908
10.8671784085    4.25862  4.31819   -3.9206  -4.0431  -3.6910
10.8688098316    4.25920  4.31841   -3.9208  -4.0433  -3.6910
10.8704412547    4.25979  4.31865   -3.9210  -4.0435  -3.6911
10.8720726779    4.26039  4.31891   -3.9211  -4.0437  -3.6910
10.8737041010    4.26100  4.31918   -3.9211  -4.0438  -3.6909
10.8753355242    4.26161  4.31947   -3.9210  -4.0438  -3.6907
10.8769669473    4.26224  4.31978   -3.9209  -4.0437  -3.6904
10.8785983705    4.26288  4.32011   -3.9207  -4.0436  -3.6900
10.8802297936    4.26353  4.32047   -3.9203  -4.0434  -3.6895
10.8818612167    4.26420  4.32084   -3.9199  -4.0431  -3.6889
10.8834926399    4.26488  4.32124   -3.9194  -4.0426  -3.6881
10.8851240630    4.26558  4.32167   -3.9188  -4.0421  -3.6873
10.8867554862    4.26630  4.32213   -3.9180  -4.0415  -3.6863
10.8883869093    4.26704  4.32263   -3.9172  -4.0407  -3.6851
10.8900183324    4.26780  4.32316   -3.9161  -4.0398  -3.6838
10.8916497556    4.26858  4.32373   -3.9149  -4.0388  -3.6823
10.8932811787    4.26939  4.32434   -3.9135  -4.0376  -3.6806
10.8949126019    4.27024  4.32500   -3.9120  -4.0362  -3.6787
10.8965440250    4.27112  4.32572   -3.9102  -4.0346  -3.6766
10.8981754481    4.27206  4.32650   -3.9082  -4.0328  -3.6742
10.8998068713    4.27305  4.32735   -3.9060  -4.0308  -3.6715
10.9014382944    4.27409  4.32829   -3.9034  -4.0285  -3.6685
10.9030697176    4.27520  4.32931   -3.9005  -4.0258  -3.6650
10.9047011407    4.27640  4.33044   -3.8973  -4.0229  -3.6612
10.9063325638    4.27770  4.33170   -3.8936  -4.0195  -3.6569
10.9079639870    4.27914  4.33310   -3.8894  -4.0157  -3.6520
10.9095954101    4.28076  4.33468   -3.8847  -4.0114  -3.6465
10.9112268333    4.28262  4.33650   -3.8794  -4.0065  -3.6402
10.9128582564    4.28481  4.33860   -3.8732  -4.0008  -3.6330
10.9144896796    4.28745  4.34109   -3.8662  -3.9944  -3.6247
10.9161211027    4.29079  4.34408   -3.8580  -3.9870  -3.6150
10.9177525258    4.29530  4.34784   -3.8487  -3.9786  -3.6039
10.9193839490    4.30200  4.35279   -3.8384  -3.9695  -3.5912
10.9210153721    4.31345  4.35991   -3.8282  -3.9610  -3.5777
10.9226467953    4.32822  4.36853   -3.8183  -3.9531  -3.5638
10.9227754817    4.32701  4.36840   -3.8159  -3.9507  -3.5614
10.9229041682    4.32507  4.36802   -3.8130  -3.9477  -3.5587
10.9230328547    4.32269  4.36745   -3.8101  -3.9447  -3.5560
10.9231615412    4.31975  4.36665   -3.8069  -3.9413  -3.5532
10.9232902277    4.31623  4.36561   -3.8037  -3.9378  -3.5504
10.9234189142    4.31267  4.36446   -3.8009  -3.9348  -3.5482
10.9235476006    4.30845  4.36303   -3.7980  -3.9315  -3.5460
10.9236762871    4.30436  4.36149   -3.7960  -3.9292  -3.5447
10.9238049736    4.30021  4.35978   -3.7949  -3.9276  -3.5443
10.9239336601    4.29633  4.35798   -3.7949  -3.9272  -3.5452
10.9240623466    4.29278  4.35605   -3.7965  -3.9284  -3.5477
10.9241910330    4.28976  4.35405   -3.7999  -3.9312  -3.5520
10.9243197195    4.28723  4.35198   -3.8049  -3.9358  -3.5580
10.9244484060    4.28510  4.34981   -3.8115  -3.9418  -3.5656
10.9245770925    4.28337  4.34754   -3.8197  -3.9495  -3.5749
10.9247057790    4.28208  4.34518   -3.8295  -3.9587  -3.5859
10.9248344655    4.28117  4.34277   -3.8406  -3.9692  -3.5982
10.9249631519    4.28062  4.34032   -3.8529  -3.9809  -3.6117
10.9250918384    4.28045  4.33782   -3.8663  -3.9938  -3.6264
10.9252205249    4.28072  4.33533   -3.8810  -4.0078  -3.6424
10.9253492114    4.28121  4.33279   -3.8964  -4.0226  -3.6591
10.9254778979    4.28188  4.33022   -3.9125  -4.0380  -3.6766
10.9256065843    4.28278  4.32764   -3.9293  -4.0542  -3.6947
10.9257352708    4.28380  4.32501   -3.9467  -4.0709  -3.7135
10.9258639573    4.28491  4.32234   -3.9645  -4.0880  -3.7328
10.9259926438    4.28609  4.31965   -3.9827  -4.1055  -3.7524
10.9261213303    4.28732  4.31692   -4.0012  -4.1233  -3.7724
10.9262500168    4.28857  4.31415   -4.0200  -4.1414  -3.7927
10.9263787032    4.28983  4.31136   -4.0390  -4.1597  -3.8132
10.9265073897    4.29110  4.30854   -4.0582  -4.1782  -3.8340
10.9266360762    4.29239  4.30570   -4.0776  -4.1968  -3.8549
10.9267647627    4.29367  4.30282   -4.0971  -4.2156  -3.8760
10.9268934492    4.29491  4.29991   -4.1168  -4.2345  -3.8972
10.9270221356    4.29611  4.29697   -4.1366  -4.2535  -3.9185
10.9271508221    4.29728  4.29400   -4.1564  -4.2726  -3.9400
10.9272795086    4.29843  4.29099   -4.1764  -4.2918  -3.9615
10.9274081951    4.29954  4.28795   -4.1965  -4.3111  -3.9831
10.9275368816    4.30060  4.28488   -4.2167  -4.3304  -4.0049
10.9276655681    4.30164  4.28179   -4.2369  -4.3499  -4.0268
10.9277942545    4.30262  4.27865   -4.2573  -4.3694  -4.0489
10.9279229410    4.30357  4.27548   -4.2778  -4.3890  -4.0711
10.9280516275    4.30448  4.27228   -4.2984  -4.4087  -4.0936
10.9281803140    4.30534  4.26904   -4.3190  -4.4285  -4.1162
10.9283090005    4.30617  4.26576   -4.3398  -4.4484  -4.1390
10.9284376869    4.30695  4.26245   -4.3608  -4.4684  -4.1619
10.9285663734    4.30769  4.25910   -4.3818  -4.4885  -4.1851
